Статистика по буквам в романе 'Война и мир':
==================================================
Буква      Частота    Процент   
--------------------------------------------------
о          302947     10.89%
е          217604     7.82%
а          214741     7.72%
и          180380     6.48%
н          164247     5.90%
т          159635     5.74%
с          144934     5.21%
л          130624     4.69%
р          122926     4.42%
в          122111     4.39%
к          89052      3.20%
д          79081      2.84%
м          76830      2.76%
у          70409      2.53%
п          63058      2.27%
я          56322      2.02%
г          53630      1.93%
ь          49846      1.79%
ы          49829      1.79%
з          47371      1.70%
б          41924      1.51%
ч          36491      1.31%
й          28584      1.03%
ж          27171      0.98%
ш          23672      0.85%
х          22318      0.80%
ю          17360      0.62%
e          11893      0.43%
ц          9761       0.35%
В          8886       0.32%
I          8027       0.29%
щ          7732       0.28%
Н          6996       0.25%
э          6878       0.25%
П          6713       0.24%
С          6486       0.23%
s          5801       0.21%
a          5351       0.19%
n          5340       0.19%
ф          5314       0.19%
r          5119       0.18%
i          5094       0.18%
o          4764       0.17%
u          4691       0.17%
t          4515       0.16%
А          4489       0.16%
О          4185       0.15%
К          3895       0.14%
l          3828       0.14%
Р          3662       0.13%
М          3652       0.13%
Б          3249       0.12%
Д          3244       0.12%
m          2850       0.10%
d          2465       0.09%
c          2374       0.09%
X          2289       0.08%
И          2272       0.08%
Т          2198       0.08%
ё          1974       0.07%
p          1872       0.07%
Г          1666       0.06%
V          1552       0.06%
v          1411       0.05%
Ч          1390       0.05%
Я          1190       0.04%
ъ          1184       0.04%
Е          1122       0.04%
Э          1052       0.04%
h          998        0.04%
f          775        0.03%
q          737        0.03%
Л          729        0.03%
g          668        0.02%
b          658        0.02%
У          603        0.02%
З          531        0.02%
Ф          503        0.02%
j          410        0.01%
Ж          402        0.01%
z          401        0.01%
L          372        0.01%
Х          308        0.01%
M          303        0.01%
Ш          289        0.01%
A          242        0.01%
B          236        0.01%
x          226        0.01%
C          191        0.01%
N          179        0.01%
y          161        0.01%
E          158        0.01%
P          156        0.01%
J          147        0.01%
S          138        0.00%
D          115        0.00%
R          87         0.00%
Ь          78         0.00%
k          75         0.00%
Ц          73         0.00%
O          67         0.00%
Q          61         0.00%
І          60         0.00%
w          57         0.00%
F          57         0.00%
T          56         0.00%
G          51         0.00%
H          40         0.00%
Ы          35         0.00%
K          35         0.00%
U          35         0.00%
Й          27         0.00%
Ю          27         0.00%
Щ          26         0.00%
W          18         0.00%
і          11         0.00%
Y          6          0.00%
Z          5          0.00%
Ъ          3          0.00%
